interface_layers,boundary_layers,reset,found_trials,failed_trials,energy_outlier_trials,excluded_trials,raw_failure_rate,accepted_trials,acceptance_fraction,median_reduced_vs_lammps_error,q90_reduced_vs_lammps_error,median_full_vs_lammps_error,median_reduced_vs_full_error,median_displacement_error,q90_displacement_error,median_detF_error,q90_detF_error,median_true_energy_error,q90_true_energy_error,median_quadrature_error,median_final_rep_atoms,q90_final_rep_atoms,median_rep_atoms_spawned
0,1,False,10,0,4,4,0.0,6,0.6,0.677135249910366,0.7934236054083332,0.21613661230314168,0.7095454247669037,0.677135249910366,0.7934236054083332,0.007283438769145126,0.009441467458051168,0.001235813387110343,0.0021038802990097946,0.007795699112717441,72.0,72.0,56.0
0,1,True,10,0,7,7,0.0,3,0.3,0.5359816990770762,0.6962462898768756,0.2128358230725287,0.4925822172098812,0.5359816990770762,0.6962462898768756,0.015621584417953272,0.016853609202162088,0.013228900614107721,0.013925130609144937,0.01482235163130288,72.0,72.0,56.0
0,2,False,10,0,7,7,0.0,3,0.3,0.44052059621022144,2.334974592667646,0.217909353948967,0.4338890923917424,0.44052059621022144,2.334974592667646,0.004777466610755407,0.06911677658786841,0.0005295059714335492,0.027322745189736146,0.007318497275326941,72.0,72.0,56.0
0,2,True,10,0,8,8,0.0,2,0.2,0.27988611858454066,0.3126718926853952,0.21206271905154467,0.27241104787893416,0.27988611858454066,0.3126718926853952,0.006351187197052824,0.006950427285946161,0.00218785006279735,0.0025983901814490445,0.007802807485743695,72.0,72.0,56.0
0,3,False,10,0,3,3,0.0,7,0.7,0.20096075954892983,0.27195046249459476,0.2153290988272525,0.12193021669116058,0.20096075954892983,0.27195046249459476,0.0016417940267592554,0.0018431317834043423,6.016693308377347e-05,7.185058108642045e-05,0.006379618055183058,72.0,72.0,56.0
0,3,True,10,0,9,9,0.0,1,0.1,0.7075404948695811,0.7075404948695811,0.21161126558582188,0.7616437973430407,0.7075404948695811,0.7075404948695811,0.02106196157327903,0.02106196157327903,0.019512700673561013,0.019512700673561013,0.01789839564237828,72.0,72.0,56.0
1,1,False,10,0,1,1,0.0,9,0.9,0.24301768717874553,0.2692640444906472,0.21554360423664967,0.21920634581895018,0.24301768717874553,0.2692640444906472,0.0026152583852117666,0.003093795706769986,0.00015830446731146687,0.0002095103960320362,0.00039764638762328843,72.0,72.0,56.0
1,1,True,10,0,3,3,0.0,7,0.7,0.28562006297128667,0.5110909890039286,0.21176454612683918,0.389363375194163,0.28562006297128667,0.5110909890039286,0.007626257939660681,0.011530445131604884,0.002343540896250701,0.009534074946709922,0.0022352641779547775,72.0,72.0,56.0
1,2,False,10,0,2,2,0.0,8,0.8,0.2347728685435957,0.24439490405829498,0.21565792481043497,0.13111448367054007,0.2347728685435957,0.24439490405829498,0.0019797149487552675,0.0025951003279500538,9.769339788751868e-05,0.00017925758177185023,0.0003127300659217546,72.0,72.0,56.0
1,2,True,10,0,3,3,0.0,7,0.7,0.5432211289258282,1.7653571136018251,0.21092890509346326,0.6287744386429124,0.5432211289258282,1.7653571136018251,0.009052396658726298,0.034163116459764345,0.008251200232624108,0.056395539790776494,0.007097910588007741,72.0,72.0,56.0
1,3,False,10,0,3,3,0.0,7,0.7,0.2245926952873959,0.23967280374734842,0.21533541307463186,0.06010765441775814,0.2245926952873959,0.23967280374734842,0.0013661684349756018,0.0015019891268625944,4.1893458978108565e-05,4.996634594491061e-05,0.0002527534958436756,72.0,72.0,56.0
1,3,True,10,0,3,3,0.0,7,0.7,0.3750517653956345,0.4206661840355649,0.21125414442454735,0.34528757443485175,0.3750517653956345,0.4206661840355649,0.007799137242200851,0.011234676374302829,0.002649197273042163,0.009936142200491471,0.003212781589275337,72.0,72.0,56.0
2,1,False,10,0,3,3,0.0,7,0.7,0.25050034039240526,0.3101146153171684,0.21506045213642963,0.16130769380457968,0.25050034039240526,0.3101146153171684,0.0037446121215245105,0.008965352081966957,0.00016934936386296258,0.000251186323279438,0.00019983228577461268,38.0,41.6,22.0
2,1,True,10,0,8,8,0.0,2,0.2,0.2669688141945676,0.31293787937799883,0.20969434392574698,0.18954520006270248,0.2669688141945676,0.31293787937799883,0.007503580895701786,0.007936509160744797,0.0002655282934375202,0.00037067015231048814,0.00034751608006477477,51.0,55.0,35.0
2,2,False,10,0,4,4,0.0,6,0.6,0.23181898618058205,0.38686762050434875,0.2139159530828157,0.06352766328966898,0.23181898618058205,0.38686762050434875,0.002504294814974925,0.013223825958620284,3.3940744353982305e-05,0.00031540184544123534,4.4495747988164415e-05,38.0,46.5,22.0
2,2,True,10,0,6,6,0.0,4,0.4,0.2503191672038313,0.31293263510112473,0.21091830810821416,0.09654874266648553,0.2503191672038313,0.31293263510112473,0.00307527780513742,0.006479345957536109,4.5016812156616716e-05,0.0013631381611797122,6.50879909983511e-05,53.0,55.4,37.0
2,3,False,10,0,3,3,0.0,7,0.7,0.23395993499670534,1.339217354226685,0.21544226348349024,0.12071527701208942,0.23395993499670534,1.339217354226685,0.004044851001856233,0.039539556237525135,3.921778689698871e-05,0.0015259696840056254,5.7004107940547795e-05,40.0,44.6,24.0
