epoch,mean,median,std,min,max,count,q10,q90,sem,n_rep_mean,n_rep_median,n_rep_min,n_rep_max
0,0.00017175138920160954,0.00017135639557491232,2.2008945188311657e-06,0.00016810204720418918,0.00017839146597652683,50,0.00016923207258538,0.00017416582810322862,3.1125348778836414e-07,16.0,16.0,16,16
100,0.00017231344853990468,0.00017219842142464505,1.6302733654553468e-06,0.00016923251367581752,0.00017754399040095057,50,0.00017055313529401977,0.0001740086812907893,2.3055547038025805e-07,16.0,16.0,16,16
200,0.00017354677606934245,0.00017354413888919236,1.331832946532307e-06,0.0001699405151575421,0.00017735633901809378,50,0.00017199294788121004,0.00017488002349798156,1.8834962158013098e-07,16.0,16.0,16,16
300,0.0001741707184385815,0.00017425219428723185,1.022908769068045e-06,0.00017083478113235243,0.00017643757737663925,50,0.00017294117006573677,0.0001753472639466919,1.4466114542863975e-07,16.0,16.0,16,16
400,0.00017443362654836523,0.00017455803560150913,9.339310643442276e-07,0.00017129298592190472,0.00017629279339559536,50,0.0001733709393448319,0.00017546465281892263,1.3207779775171464e-07,16.0,16.0,16,16
500,0.00017469368020358857,0.0001747339808495864,9.010185292479503e-07,0.00017171146251991487,0.00017636171111394652,50,0.00017375723659431502,0.0001757377862732545,1.2742326240119105e-07,16.0,16.0,16,16
600,0.00017507602727998746,0.00017498411362652983,1.0546142955460196e-06,0.00017213497102331105,0.00017741445633660615,50,0.00017380554916539802,0.00017649872924072475,1.4914498398337285e-07,16.0,16.0,16,16
700,0.0001756056833134757,0.0001755429447489145,1.3815330662231537e-06,0.00017252321419338533,0.00017890520812101555,50,0.00017378402890879166,0.00017748167471919924,1.9537827991196713e-07,16.0,16.0,16,16
800,0.0001762593810228311,0.00017624642939247017,1.7456393540653777e-06,0.00017288028688247766,0.0001800776649114486,50,0.00017413503632101655,0.00017851752022249312,2.468706849531466e-07,16.0,16.0,16,16
900,0.0001769714421869234,0.00017713985558183806,2.0545642727230318e-06,0.00017259677740406353,0.0001810997856259697,50,0.000174615148350961,0.00017969387874541747,2.9055926592521256e-07,16.0,16.0,16,16
1000,0.0001777360124732911,0.00017780305379398183,2.234145678774886e-06,0.00017260610260878562,0.0001823357803638064,50,0.00017511198730158184,0.0001802714739549951,3.1595591192406876e-07,20.0,20.0,20,20
